ID,Registration Date,First name,Last name,Email Address,Job,Other Job,Job position,Organization,Other organization,Skills or Expertise,Years of experience in artificial intelligence,Years of healthcare experience
34,10-1-2021 11:49:41,Ashley,Hill,ashley.ramirez@example.com,Research professionals,,Research coordinator,"CRCHUM - Research center of the hospital center of the University of Montreal, Other",Research Chair in New Nursing Practices,Expertise in the design and evaluation of digital health interventions (websites; mobile applications). Interested in integrating AI into this type of project (but no experience to date).,0,13
35,10-3-2021 10:32:50,Steve,Ramirez,steven.campbell@example.com,Researchers,,Research Associate,LIO - Imaging and Orthopedics Research Laboratory,,"Image processing, 3D reconstruction, machine learning",,
36,10-6-2021 7:32:44,Megan,Campbell,megan.mitchell@example.com,Other,innovation advisor,innovation advisor DEAC (�IAS),EIAS - School of Artificial Intelligence in Health,CRCHUM,"innovation, change management, organizational development, project management, qualitative research",1,3
37,10-28-2021 13:53:33,Richard,Mitchell,richard.roberts@example.com,Students,,PhD,"LIO - Imaging and Orthopedics Research Laboratory, �TS- School of Higher Technology",,"Master's degree in computer science, specializing in pattern recognition and artificial intelligence. Doctoral subject: Calibration of a stereoradiography system. EOS image classification. I have been working on deep learning methods for almost a year.",3,5
38,10-31-2021 1:06:08,Rebecca,Roberts,rebecca.carter@example.com,Researchers,Clinician-Scientist,"Full time Assistant Professor, Department of Pediatrics, Division of Pediatric Endocrinology and Metabolism",Other,McGill University Health Center Research institute,I am a new clinician-scientist developing my research program on the use of machine learning to address crucial clinical questions in the field of pediatric diabetes,,
39,11-18-2021 16:30:54,Eric,Carter,eric.phillips@example.com,Research professionals,"PhD student, CRCHUM researcher, health professional","regular researcher, PhD student","CRCHUM - Research Center of the University of Montreal Hospital Center, CHUM- University of Montreal Hospital Center, UDEM- University of Montreal",,Nurse practitioner specializing in cardiology,2,11
40,11-23-2021 14:36:23,Danielle,Phillips,danielle.evans@example.com,Other,Healthcare professional,Nursing Advisor,Other,CCSMTL - DADRI,"Critical care, nursing care, clinical computerization, application management",0,11
41,11-23-2021 17:07:08,Paul,Evans,paul.turner@example.com,Researchers,Doctor,Gynecological oncology,"CRCHUM - Research Center of the University of Montreal Hospital Center, CHUM- University of Montreal Hospital Center",,clinical and translational research + clinician,0,30
42,11-29-2021 11:30:13,Michelle,Turner,michelle.parker@example.com,Research professionals,,Research Agent and Liaison Agent Q-CRCO,CRCHUM - Research center of the hospital center of the University of Montreal,,AEC information / develop database and powerBI,0,0
43,12-5-2021 9:14:04,Brandon,Parker,brandon.collins@example.com,Researchers,Industrial,"Polytechnic Professor, CRCHUM Researcher",CRCHUM - Research center of the hospital center of the University of Montreal,Polytechnique Montreal,"Optical instrumentation, Metrology, Tomography, Machine learning, Surgery, Pathology",5,15
44,12-6-2021 12:21:43,Amy,Collins,amy.edwards@example.com,Research professionals,,research associate,"CRCHUM - Research center of the University of Montreal hospital center, Polytechnique Montr�al",LRO - Optical radiology laboratory,"engineering, optical imaging",0,2
60,12-15-2021 14:44:07,Jeffrey,Edwards,jeffrey.stewart@example.com,Research professionals,,Research Associate,"CRCHUM - Research center of the University of Montreal hospital center, Polytechnique Montr�al",,"Deep learning for medical imaging (radiology, radiation oncology)",3,3
61,2-23-2022 14:46:10,Tiffany,Stewart,tiffany.sanchez@example.com,Research professionals,,AI Scientist [PhD],Other,Intelligence and Data Institute - Laval University,AI scientist from strategic definition to practical implementation.,18,0.5
62,2-23-2022 17:14:14,Mark,Sanchez,mark.morris@example.com,Research professionals,I am also a data integration consultant,,Other,Laval University,"Data integration, open source software, data science, citizen involvement, actuarial science and insurance, macroeconomics, training/support.",13,1
63,2-24-2022 15:00:04,Katie,Morris,katie.rogers@example.com,Other,Institute,Assistant Director,"Polytechnique Montr�al, Other",TransMedTech Institute,"Living Lab, open innovation, medical instruments",5,20
64,3-22-2022 8:42:14,Anthony,Rogers,anthony.reed@example.com,Research professionals,CHUM AI training community,consultant,CHUM - Hospital Center of the University of Montreal,INESSS,technology assessment,2,35
65,3-22-2022 15:40:45,Christina,Reed,christine.cook@example.com,Researchers,,postdoctoral,"CRCHUM - Research Center of the University of Montreal Hospital Center, LIO- Imaging and Orthopedics Research Laboratory, T�LUQ- T�LUQ University",TELUQ university,"Machine learning, Deep learning, biomedical signal processing",10,5
66,4-25-2022 16:01:33,Scott,Cook,scott.morgan@example.com,Industrial,,Care coordinator,Other,Dialogue,"completed a master's degree in public health at McGill University in May 2021, and I have since worked in the field of telemedicine at the Canadian company Dialogue. I am interested in digital issues in the health network, as well as the application of machine learning and AI in these technologies. https://www.linkedin.com/in/liliabrahimi/",0,1
67,6-15-2022 12:29:30,Angela,Morgan,angela.bell@example.com,Students,,PhD student,Other,The Institute of Robotics and Process Control TU Braunschweig,AI and robotics,1,0
69,6-17-2022 10:18:53,Justin,Bell,justin.murphy@example.com,Other,IT professionals,Fullstack Developer,Other,,I am a developer and I have a master's degree in AI and Data science,2,0
70,6-17-2022 11:21:00,Crystal,Murphy,crystal.bailey@example.com,Researchers,,Engineer,Other,CEA,code,1,0
71,6-21-2022 20:38:18,Benjamin,Bailey,benjamin.rivera@example.com,Research professionals,,Scientific Professional - Digital Health,MSSS - Ministry of Health and Social Services,INESSS,"Master's degree in public health, 1 year experience in digital health",0,1
72,6-23-2022 10:53:06,Heather,Rivera,heather.cooper@example.com,Researchers,,Manager of Research and Innovation,Other,Vestechpro,"Smart clothing, complex product development, systems engineering, innovation and entrepreneurship, innovation financing.",0,0
73,7-2-2022 10:14:45,Patrick,Cooper,patrick.richardson@example.com,Students,,2nd cycle microprogram in management - information technology,UDEM - University of Montreal,HEC,"Through my professional and academic experience in the healthcare field, I have developed a real interest in innovation, AI and digital transformation with the aim of promoting process optimization in the healthcare network. I completed my BAC integration internship in coordination of activities at the Montreal Heart Institute where I had the chance to observe and contribute to the implementation of innovative technological solutions as part of the overhaul of Quebec's health system. Thus, my curiosity, my determination as well as my desire to contribute to a better health system pushed me to begin a 2nd cycle microprogram in information technology while working as a clinical nurse in the Royal-Victoria emergency room. looking forward to starting an MBA afterwards. I am also involved as VP-logistics in the HEC data sciences committee in order to broaden my knowledge and develop new skills.",0,2
74,7-7-2022 8:59:03,Christina,Richardson,christina.cox@example.com,Other,Employee,Telehealth clinical project manager,Other,CISSS-CA,"have been interested in health/rehabilitation technologies for several years. I read a lot on the subject, I have followed/given several training courses. I participated in the implementation of several technologies in the services in which I worked (assistance tools, development of chatbots, management of a fleet of iPads, connected tools, etc.)",0,15
75,7-9-2022 15:06:15,Timothy,Cox,timothy.howard@example.com,Research professionals,AI advisor at the MSSS,AI advisor at the MSSS,MSSS - Ministry of Health and Social Services,None,To discuss during a meeting,3,2
76,8-19-2022 8:47:51,Allison,Howard,allison.ward@example.com,Other,Medical biologist,PhD,CHUM - Hospital Center of the University of Montreal,MONTREAL CHU,Expert in bone histomorphometry and Digital Pathology Platform Manager,3,27
77,9-23-2022 11:16:25,Charles,Ward,charles.torres@example.com,Research professionals,,Advisor in technology innovation at the MSSS,MSSS - Ministry of Health and Social Services,,am a biomedical engineer by training. I have 5 years of experience managing medical technologies in a hospital environment.,1,3
78,9-25-2022 11:04:46,Kimberly,Torres,kimberly.peterson@example.com,Research professionals,,Scientific professional in digital health assessment,"MSSS - Ministry of Health and Social Services, Other",INESSS National Institute of Excellence in Health and Social Services,"Research in digital health evaluation, evaluation, impact and implementation of AI in the health system and development of impact evaluation tools and activities",1,2
79,9-27-2022 21:12:17,Jeremy,Peterson,jeremy.gray@example.com,Researchers,Retired military & clinician and soon Post-doc.,Doctoral student in experimental medicine (graduation process) and scientific entrepreneur,"CRCHUSJ - Research Center of the Sainte Justine Hospital Center, UDEM- University of Montreal, Other",CBRNE Medical Intelligence Inc. & Operation Companions in Arms,"Officier de d�fense CBRNE Avanc� avec les Forces canadiennes, officier du renseignement, officier infirmier-clinicien, inventeur, entrepreneur et pilote de drone. Les int�r�ts sont:  Pre-hospital interventions in contaminated environment (Mass-casualty management; Protection; Decontamination; Extraction); ii. Triage tools; iii. Automatization & Artificial Intelligence systems (Applied Technologies in emergency responses up-to conversion of existing technologies); iv. Use of drone & telemedicine applied in pre-hospital settings (including Virtual Settings); v. Respiratory protection (i.e.: respiratory physiology, aerosol, respiratory effort indexes, oxygen-therapy, respiratory assisting devices for the gas mask technology, respiratory/blood gas); vi. Fluid mechanics; vii. Security Intelligence (Weapons of mass destruction, CBRNE, Global Security, Counterintelligence & Biometric, psyops, deception); viii.  Community: social and medical problematic in homeless veterans.  *CBRNE: Chimique, Biologique, Radiologique, Nucl�aire, Explosif",5,26
80,9-30-2022 16:12:54,Catherine,Gray,catherine.ramirez@example.com,Researchers,,,Other,TOPMED,"Biomechanics, rehabilitation, neuroscience, locomotion",0.25,10
81,11-18-2022 11:16:52,Gregory,Ramirez,gregory.james@example.com,Industrial,,Senior Data Analytics Consultant,CHUM - Hospital Center of the University of Montreal,,"Statistics, Machine learning, Data engineering, Python, R",4.5,2
82,11-28-2022 11:52:27,Tara,James,tara.watson@example.com,Research professionals,,"Planning, programming and research agent",MSSS - Ministry of Health and Social Services,Center of expertise in artificial intelligence and data valorization,Monitoring and knowledge transfer,0,25
83,12-12-2022 11:23:56,Aaron,Watson,aaron.brooks@example.com,Researchers,,Professor,Other,UDS - University of Sherbrooke,Semantic data integration and modeling and exploitation of temporal databases,0,3
84,12-13-2022 12:27:50,Holly,Brooks,holly.kelly@example.com,Research professionals,Researchers,Teacher,Other,University of Quebec in Montreal,PhD in Statistics,,
85,12-13-2022 12:46:07,Jonathan,Kelly,jonathan.sanders@example.com,Industrial,,senior regional market access manager,Other,"Edwards Lifesciences, Inc. - Mississauga, ON",use of data for health technology assessment,0,25
86,12-13-2022 13:03:40,Lindsay,Sanders,lindsay.price@example.com,Researchers,,Research Associate,Other,CR Douglas,"Anthropology, AI, Neuroscience",3,2
87,12-13-2022 13:10:13,Todd,Price,todd.bennett@example.com,Other,CHUM general employee,Agent,CHUM - Hospital Center of the University of Montreal,,No AI,0,20
88,12-13-2022 14:08:07,Jenny,Bennett,jenny.wood@example.com,Researchers,,Industrial researcher,Other,Montreal Computer Research Center,"Machine Learning, Process Mining, Patient Trajectories, Medical-Administrative Data",7,7
89,1-18-2023 6:26:56,Bryan,Wood,bryan.barnes@example.com,Researchers,Clinician (Obstetrics and Gynecology),"MD, MSc, clinical assistant professor",CHUM - Hospital Center of the University of Montreal,,Clinician,0,31
90,1-23-2023 9:57:53,Kathryn,Barnes,kathryn.ross@example.com,Students,,PhD student,Other,Laval University,"Educational technology, learning experience",,
91,1-23-2023 10:49:57,Jordan,Ross,jordan.henderson@example.com,Other,healthcare professional,Technical coordinator in medical imaging,Other,CIUSSS West Island - Lasalle Hospital,"Having a university degree (DU) from the University of Burgundy (France) in Artificial Health Intelligence (currently master), I would like to be part of working groups or committees in this field for more opportunities...",1,20
96,3-31-2023 14:53:20,Sarah,Henderson,sara.coleman@example.com,Students,,Final year computer engineering student,Other,University of Carthage,"Python, artificial intelligence algorithm",1,0
97,4-3-2023 12:13:58,Travis,Coleman,travis.jenkins@example.com,Researchers,,Associate professor,TELUQ University,,Study of the adoption of connected objects by patient users,4,4
98,4-3-2023 13:05:45,Anna,Jenkins,anna.perry@example.com,Students,Entrepreneur,CEO,EIAS- School of Artificial Intelligence in Health,phoenix project,Communication- Democratization- UI design,3,
99,4-13-2023 21:13:46,Derek,Perry,derek.powell@example.com,Researchers,,Neonatologist - Principal Investigator of NeoCardioLab - www.neocardiolab.com,"CRCHUSJ - Research Center of the Sainte Justine Hospital Center, Other",RI-MUHC,"specialize in neonatal echocardiography, as well as myocardial deformation measurement (speckle tracking echocardiography). I am also an epidemiologist (MSc) and am interested in cohort studies. I have an interest in the analysis of cardiac function, in the neonatal (and fetal) period.",0,18
102,6-27-2023 22:14:49,Caroline,Powell,caroline.long@example.com,Other,Employee,Clinical Advisor,CHUM - Hospital Center of the University of Montreal,Student at SUPERIOR TECHNOLOGY SCHOOL in health technologies,"have no expertise in the AI field. But I have worked as a healthcare professional and currently a telehealth clinical advisor, and I am interested in learning more about innovations and new technologies",0,13
104,7-4-2023 9:29:44,Nicholas,Long,nicholas.patterson@example.com,Research professionals,,Librarian (I hope this falls under Research Professionals!),UDEM - University of Montreal,,"I have already assisted the EIA with a few projects (content curation for the training directory; documentary research on �readiness� for AI in the clinical environment), and I have done other documentary research on AI in health (machine learning, algorithm-based diagnosis in dermatology). My expertise is therefore in documentary research.",4,5
105,7-15-2023 20:59:12,Kathleen,Patterson,kathleen.hughes@example.com,Students,Resident Doctor,Resident Doctor,"CHUM - Hospital Center of the University of Montreal, �IAS- School of Artificial Intelligence in Health",,Python programming.,1,8
106,7-17-2023 15:12:28,Evan,Hughes,evan.flores@example.com,Research professionals,,AI developer at the Ministry of Health,MSSS - Ministry of Health and Social Services,,Full Stack AI Developer,5,2
107,7-17-2023 15:20:35,Alicia,Flores,alicia.washington@example.com,Researchers,Public service employee,Independent researcher; Advisor in Artificial Intelligence and data valorization,MSSS - Ministry of Health and Social Services,"Eventually, McGill",Applied research for the operationalization of Responsible AI,2,2
109,7-18-2023 9:43:42,To fart,Washington,peter.butler@example.com,Other,Team leader - coordinator,Team leader - AI and geomatics coordinator,MSSS - Ministry of Health and Social Services,Directorate of Analysis and Artificial Intelligence - Directorate General of Strategic Planning and Performance (DGPSP),Data Science,1,1
110,7-18-2023 9:57:03,Vanessa,Butler,vanessa.simmons@example.com,Students,,,MSSS - Ministry of Health and Social Services,,In the field of AI I had to manipulate classification and NLP algorithms during my studies and as part of my work at MSSS-DAIA,4,1
111,7-23-2023 9:28:52,Philip,Simmons,philip.foster@example.com,Students,health professional,professional student,Other,Ministry of Health,nurse anesthetist master's degree in project management - master's degree in health,2,18
112,8-2-2023 14:27:27,Kara,Foster,kara.gonzales@example.com,Other,,"Programming, Planning and Research Officer",CHUM - Hospital Center of the University of Montreal,ADEAC CHUM,Educational consultancy - integration of health AI skills,0.5,0.5
114,8-9-2023 8:40:51,Donald,Gonzalez,donald.bryant@example.com,Other,Continuous improvement agent,"Planning, programming and research agent",CHUM - Hospital Center of the University of Montreal,,"Doctorate in medicine, master's degree in health services administration, LeanSix Sigma certificate (green belt) and project management Eleven years of experience in the field of health and social services, including 7 years in management, particularly in project management (5 years) Coordination and management of innovative projects Optimization and improvement of processes and procedures in the field of health Management of multidisciplinary teams Strong analytical, synthesis and problem-solving skills focused on innovative results Excellent knowledge of the process, of different performance evaluation models and integrated performance and quality management (Three levels of the control room) Very good ability to maintain constructive relationships with internal and external partners and to promote mobilization around shared projects, team spirit, leadership, autonomy, knowing how to adapt to change, organizational skills Microsoft Office, Planner, Forms, Lists, Visio, Smartsheet, ACCESS, Lime Survey",0,11
115,8-22-2023 9:24:06,Monica,Bryant,monica.alexander@example.com,Other,CHUM employee,APPR,CHUM - Hospital Center of the University of Montreal,CHUM,Educational advisor at the CHUM with responsibilities to support the community of practice,3,1
116,8-24-2023 19:07:42,Keith,Alexander,keith.russell@example.com,Researchers,Resident doctor,Resident doctor,"CRCHUM - Research Center of the Hospital Center of the University of Montreal, CHUM- Hospital Center of the University of Montreal, �IAS- School of Artificial Intelligence in Health",,AutoML and ChatGPT,2,9
117,8-30-2023 23:17:42,Cassandra,Russell,cassandra.griffin@example.com,Students,"Researcher, Health professional","Master's student (medical sciences, computational medicine option), student-researcher and research agent","CRCHUM - Research Center of the University of Montreal Hospital Center, UDEM- University of Montreal",,"Doctor of Medicine (Laureate of Med V University of Rabat), Master's degree in computational medicine, medical sciences (courses in AI), working on some research projects under the supervision of my research director",1.5,8
118,9-3-2023 15:59:28,Shawn,Griffin,shawn.diaz@example.com,Students,,Baccalaureate student,Polytechnique Montreal,,Software development,1,3
119,9-10-2023 0:35:56,Stacey,Diaz,stacey.hayes@example.com,Researchers,Endocrinologist,"Regular researcher, cardiometabolic axis","CRCHUM - Research Center of the University of Montreal Hospital Center, CHUM- University of Montreal Hospital Center, UDEM- University of Montreal",Professional Council Member of Diabete Quebec,"I am a clinical researcher interested in the question of the heterogeneity of diabetes; my research program aims to better understand the more atypical and rare forms of diabetes such as LADA (latent autoimmune diabetes in adults), and to identify subtypes of autoimmune diabetes (including LADA) through cohorts and biobanks under development and using artificial intelligence.",0,15
